1965
[2, 3, 4, 6, 12] , 1
[2, 3, 4, 5, 6, 10, 15, 24, 40, 120] , 6
[2, 3, 4, 5, 6, 10, 15, 24, 60, 120] , 6
[2, 3, 4, 5, 6, 10, 15, 30, 40, 120] , 6
[2, 3, 4, 5, 6, 10, 15, 40, 60, 120] , 6
[2, 3, 4, 5, 6, 10, 20, 24, 30, 40] , 6
[2, 3, 4, 5, 6, 10, 20, 24, 30, 120] , 6
[2, 3, 4, 5, 6, 10, 20, 24, 40, 60] , 6
[2, 3, 4, 5, 6, 10, 20, 24, 40, 120] , 6
[2, 3, 4, 5, 6, 10, 20, 24, 60, 120] , 6
[2, 3, 4, 5, 6, 10, 20, 30, 40, 120] , 6
[2, 3, 4, 5, 6, 10, 20, 40, 60, 120] , 6
[2, 3, 4, 5, 6, 10, 24, 30, 40, 60] , 6
[2, 3, 4, 5, 6, 10, 24, 30, 40, 120] , 6
[2, 3, 4, 5, 6, 10, 24, 30, 60, 120] , 6
[2, 3, 4, 5, 6, 10, 24, 40, 60, 120] , 6
[2, 3, 4, 5, 6, 10, 30, 40, 60, 120] , 6
[2, 3, 4, 5, 6, 15, 20, 24, 30, 40] , 6
[2, 3, 4, 5, 6, 15, 20, 24, 30, 120] , 6
[2, 3, 4, 5, 6, 15, 20, 24, 40, 60] , 6
[2, 3, 4, 5, 6, 15, 20, 24, 40, 120] , 6
[2, 3, 4, 5, 6, 15, 20, 24, 60, 120] , 6
[2, 3, 4, 5, 6, 15, 20, 30, 40, 120] , 6
[2, 3, 4, 5, 6, 15, 20, 40, 60, 120] , 6
[2, 3, 4, 5, 6, 15, 24, 30, 40, 60] , 6
[2, 3, 4, 5, 6, 15, 24, 30, 40, 120] , 6
[2, 3, 4, 5, 6, 15, 24, 30, 60, 120] , 6
[2, 3, 4, 5, 6, 15, 24, 40, 60, 120] , 6
[2, 3, 4, 5, 6, 15, 30, 40, 60, 120] , 6
[2, 3, 4, 5, 6, 20, 24, 30, 40, 60] , 6
[2, 3, 4, 5, 6, 20, 24, 30, 40, 120] , 6
[2, 3, 4, 5, 6, 20, 24, 30, 60, 120] , 6
[2, 3, 4, 5, 6, 20, 24, 40, 60, 120] , 6
[2, 3, 4, 5, 6, 20, 30, 40, 60, 120] , 6
[2, 3, 4, 5, 6, 24, 30, 40, 60, 120] , 6
[2, 3, 4, 5, 8, 10, 12, 15, 20, 40] , 6
[2, 3, 4, 5, 8, 10, 12, 15, 20, 120] , 6
[2, 3, 4, 5, 8, 10, 12, 15, 30, 40] , 6
[2, 3, 4, 5, 8, 10, 12, 15, 30, 120] , 6
[2, 3, 4, 5, 8, 10, 12, 15, 40, 60] , 6
[2, 3, 4, 5, 8, 10, 12, 15, 40, 120] , 6
